what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1252530759125
started,bundle,org.eclipse.ui.editors,3.5.0.v20090513-2000,"org.eclipse.ui.editors",1252530759125
started,bundle,org.eclipse.ui.forms,3.4.0.v20090514,"org.eclipse.ui.forms",1252530759125
started,bundle,org.eclipse.ui.ide,3.5.0.I20090520-2000,"org.eclipse.ui.ide",1252530759125
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1252530759125
started,bundle,org.eclipse.ui.views,3.4.0.I20090520-2000,"org.eclipse.ui.views",1252530759125
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090520-2000,"org.eclipse.ui.workbench",1252530759125
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090519-2000,"org.eclipse.ui.workbench.texteditor",1252530759125
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1252530759125
started,bundle,org.eclipse.update.core,3.2.300.v20090429-1625,"org.eclipse.update.core",1252530759125
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1252530759125
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,"org.eclipse.wst.jsdt.core",1252530759125
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1252530759140
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1252530759140
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1252530759140
started,bundle,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui",1252530759140
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1252530759140
started,bundle,org.eclipse.dltk.core,1.0.0.v20090617-1157,"org.eclipse.dltk.core",1252530759140
started,bundle,org.eclipse.dltk.launching,1.0.0.v20090610-1638,"org.eclipse.dltk.launching",1252530759140
started,bundle,org.eclipse.dltk.ui,1.0.0.v20090617-1521,"org.eclipse.dltk.ui",1252530759140
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1252530759140
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.filetransfer",1252530759140
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1252530759140
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1252530759140
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1252530759140
